session_duration,api_calls,support_tickets,is_churn
34.96714153011233,123.15443868829104,1,0
28.617356988288154,147.73541601175327,2,0
36.47688538100692,65.03581065452147,1,0
45.23029856408026,114.07423091726427,5,0
27.65846625276664,83.73393577195432,1,1
27.658630430508193,87.8218654058826,4,0
45.79212815507391,85.19015189402828,2,0
37.67434729152909,78.4002307580046,0,0
25.305256140650478,101.21304069862067,1,0
35.42560043585965,79.22624708972405,3,1
25.365823071875376,106.76142064449597,2,0
25.34270246429743,98.74404726377158,3,0
32.41962271566034,94.02629882833976,3,0
10.86719755342202,77.31090844896005,1,0
12.750821674869673,85.58071673579168,0,1
24.377124707590273,118.8847806456439,1,1
19.87168879665576,112.52292969060952,4,0
33.142473325952736,75.56111888003622,2,0
20.91975924478789,102.48330763573065,4,0
15.876962986647085,118.78467808429473,3,0
44.65648768921554,58.26486797196571,2,0
27.742236995134643,113.58400480949838,3,0
30.67528204687924,83.43440602635383,2,0
15.752518137865433,114.26496671482899,2,0
24.556172754748175,80.91852108643708,2,1
31.10922589709866,54.877947483387025,3,1
18.490064225776973,59.31143905292093,1,0
33.75698018345672,101.20212366653455,2,1
23.99361310081195,106.49306254303704,3,0
27.083062502067232,77.39208437238979,2,0
23.98293387770603,115.96481146943435,0,1
48.522781845089376,58.461998443276,1,1
29.865027752620662,98.34800503381709,2,1
19.422890710440996,69.72459500593858,2,0
38.225449121031886,83.70409730494602,1,0
17.791563500289776,101.18496678291035,0,1
32.08863595004755,78.4896658679012,5,0
10.403298761202244,90.38611139425437,2,0
16.718139511015693,125.15732023036101,1,0
31.968612358691235,85.57770326192129,2,0
37.38466579995411,120.89230280162855,0,0
31.713682811899705,71.75732863355955,2,0
28.843517176117594,113.24510444788207,1,1
26.988963044107113,136.0392155164475,3,0
15.214780096325725,38.208887496817766,4,0
22.801557916052914,80.07761861323809,2,0
25.393612290402125,114.4268031795135,0,0
40.57122226218915,94.92386534892518,2,0
33.43618289568462,109.27864683428272,2,0
12.36959844637266,84.90037033210449,3,1
33.24083969394795,102.1647446868225,5,0
26.149177195836835,96.108069115198,2,1
23.230779996940413,129.19455154149517,3,0
36.11676288840868,106.36052108253033,3,0
40.30999522495951,108.44006655188005,2,0
39.31280119116199,89.70307584693832,5,0
21.607824767773614,87.80984439818766,2,1
26.907876241487855,89.18604530450948,5,0
33.31263431403564,109.86130355945743,0,0
39.75545127122359,89.47538797949343,1,1
25.2082576215471,107.24437142241032,1,1
28.143410233361827,151.88501996613599,2,1
18.936650259939718,121.7781175857923,1,0
18.037933759193294,91.84941169580397,1,1
38.125258223941984,130.03034805409862,0,0
43.56240028570823,89.79811567446122,3,0
29.27989878419666,49.04688662055365,3,0
40.03532897892024,74.7978422270649,0,0
33.61636025047634,53.230201974353605,1,0
23.548802453948756,91.21216289896728,2,0
33.61395605508414,100.46045947973879,5,1
45.38036566465969,141.91093280688207,1,0
29.641739608900483,108.17318434410407,3,0
